City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
150,Baruun-Urt,MN,2022-08-07 21:19:51,46.6806,113.2792,51.82,55,0,5.79,clear sky
151,Bulgan,MN,2022-08-07 21:19:52,48.8125,103.5347,51.8,88,48,0.65,scattered clouds
152,Karpogory,RU,2022-08-07 21:19:52,64.0019,44.4451,58.42,84,100,7.07,overcast clouds
153,Abu Dhabi,AE,2022-08-07 21:18:28,24.4667,54.3667,98.71,44,0,4.61,clear sky
154,Sinazongwe,ZM,2022-08-07 21:19:53,-17.2614,27.4618,67.37,35,0,2.75,clear sky
155,Guerrero Negro,MX,2022-08-07 21:19:53,27.9769,-114.0611,88.09,51,94,10.07,overcast clouds
156,Batagay-Alyta,RU,2022-08-07 21:19:54,67.8006,130.4114,53.11,88,56,4.45,broken clouds
157,East London,ZA,2022-08-07 21:19:54,-33.0153,27.9116,66.92,87,100,23.2,light rain
158,Quatre Cocos,MU,2022-08-07 21:19:54,-20.2078,57.7625,67.08,76,19,7.83,few clouds
159,Berlevag,NO,2022-08-07 21:19:55,70.8578,29.0864,48.2,93,75,12.66,broken clouds
160,Margate,GB,2022-08-07 21:18:36,51.3813,1.3862,62.91,72,4,1.99,clear sky
161,Kruisfontein,ZA,2022-08-07 21:15:56,-34.0033,24.7314,57.88,88,78,4.92,light rain
162,San Patricio,US,2022-08-07 21:19:56,28.017,-97.5169,97.52,43,51,17.29,broken clouds
163,Khatanga,RU,2022-08-07 21:19:56,71.9667,102.5,51.22,81,64,7.25,broken clouds
164,Chicama,PE,2022-08-07 21:19:56,-7.8447,-79.1469,61.34,64,43,9.66,scattered clouds
165,Rawson,AR,2022-08-07 21:19:57,-43.3002,-65.1023,42.87,71,100,10.63,overcast clouds
166,Lamu,KE,2022-08-07 21:19:57,-2.2717,40.902,73.62,81,31,18.12,scattered clouds
167,Leshukonskoye,RU,2022-08-07 21:15:55,64.8989,45.7622,59.58,86,100,3.8,overcast clouds
168,Teknaf,BD,2022-08-07 21:19:58,20.8624,92.3058,79.36,91,97,11.05,overcast clouds
169,Deputatskiy,RU,2022-08-07 21:19:58,69.3,139.9,46.67,96,100,4.23,overcast clouds
170,Jiangyou,CN,2022-08-07 21:19:59,31.7667,104.7167,77.74,89,100,3.33,heavy intensity rain
171,Tessalit,ML,2022-08-07 21:15:35,20.1986,1.0114,98.85,13,83,3.22,broken clouds
172,Geraldton,AU,2022-08-07 21:19:59,-28.7667,114.6,50.41,93,3,13.8,clear sky
173,Sault Sainte Marie,CA,2022-08-07 21:16:09,46.5168,-84.3333,66.49,76,100,5.75,overcast clouds
174,Along,IN,2022-08-07 21:20:00,28.1667,94.7667,76.32,95,51,1.63,heavy intensity rain
175,Jinji,CN,2022-08-07 21:20:00,23.2281,110.8261,77.38,88,15,2.91,few clouds
176,Hambantota,LK,2022-08-07 21:20:01,6.1241,81.1185,78.06,81,100,18.32,overcast clouds
177,Port Hedland,AU,2022-08-07 21:20:01,-20.3167,118.5667,53.65,62,0,8.05,clear sky
178,Sibu,MY,2022-08-07 21:20:02,2.3,111.8167,73.71,94,40,4.61,scattered clouds
179,San Francisco,US,2022-08-07 21:17:22,37.7749,-122.4194,84.76,71,20,19.57,few clouds
180,Penzance,GB,2022-08-07 21:21:02,50.1186,-5.5371,61.48,74,16,14.63,few clouds
181,Moroni,KM,2022-08-07 21:21:03,-11.7022,43.2551,73.58,76,5,6.4,clear sky
182,Avarua,CK,2022-08-07 21:21:04,-21.2078,-159.775,75.25,60,40,20.71,scattered clouds
183,Gazli,UZ,2022-08-07 21:21:04,40.1333,63.45,83.73,25,0,11.83,clear sky
184,Hasaki,JP,2022-08-07 21:21:04,35.7333,140.8333,79.29,91,10,11.72,clear sky
