City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
427,Komsomolskiy,UZ,80.71,40.4272,71.7189,clear sky,Ikathouse
433,Marsh Harbour,BS,83.79,26.5412,-77.0636,overcast clouds,Abaco Beach Resort
439,Barra Patuca,HN,81.63,15.8,-84.2833,overcast clouds,
440,Trapani,IT,81.23,37.8333,12.6667,clear sky,
444,Ishigaki,JP,84.33,24.3448,124.1572,broken clouds,Hotel Peace Land Ishigakijima
448,Tambun,ID,80.49,-6.2641,107.0712,clear sky,Metland Hotel Bekasi
459,Veraval,IN,81.18,20.9,70.3667,overcast clouds,Lords Inn Somnath
463,North Bend,US,80.24,43.4065,-124.2243,clear sky,Red Lion Hotel Coos Bay
472,Ales,FR,81.68,44.1333,4.0833,clear sky,ibis Alès Centre-Ville
473,Cedar City,US,88.39,37.6775,-113.0619,clear sky,Hampton Inn Cedar City
476,Balkanabat,TM,88.0,39.5108,54.3671,clear sky,Nebitchi Hotel
478,Basco,PH,84.94,20.4487,121.9702,overcast clouds,Nathaniel's Lodge
483,Tomatlan,MX,89.19,19.9333,-105.25,broken clouds,El Salvial
484,Laramie,US,82.09,41.3114,-105.5911,scattered clouds,Fairfield Inn & Suites by Marriott Laramie
485,La Joya,MX,87.31,18.6667,-99.4667,overcast clouds,HOTEL Y RESTAURANTE BUGAMBILIAS
486,Xiangxiang,CN,81.37,27.7333,112.5333,broken clouds,Huatai International Hotel
487,Foshan,CN,85.95,23.0268,113.1315,broken clouds,Crowne Plaza Foshan
489,Shenjiamen,CN,81.97,29.9576,122.298,overcast clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
497,Hirado,JP,82.38,33.3597,129.5531,overcast clouds,Samson Hotel
498,Tukrah,LY,80.6,32.5341,20.5791,clear sky,Lagrota restaurant
500,Manaure,CO,89.47,11.7751,-72.4445,broken clouds,Hotel Palaaima
504,Kaseda,JP,82.58,31.4167,130.3167,scattered clouds,Sun Stay Kaseda
507,Illela,NG,88.68,13.7292,5.2975,overcast clouds,
510,Baran,IN,80.19,25.1,76.5167,overcast clouds,Hotel shree ji
512,Sao Felix Do Xingu,BR,85.46,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
533,Mehriz,IR,88.3,31.5917,54.4318,clear sky,Mehrgard dwelling/سرای مهرگرد
540,Santa Cruz Del Sur,CU,86.02,20.7147,-77.9956,broken clouds,
545,Honiara,SB,82.83,-9.4333,159.95,overcast clouds,Heritage Park Hotel
549,Governador Dix-Sept Rosado,BR,85.84,-5.4577,-37.5209,broken clouds,clovis olveira
556,Scottsbluff,US,88.03,41.8666,-103.6672,clear sky,Hampton Inn & Suites Scottsbluff-Conference Center
558,Sann,PK,84.11,26.0418,68.1378,broken clouds,New Sindhri Hotel
562,Lazaro Cardenas,MX,85.96,17.9583,-102.2,overcast clouds,HOTEL QUINTA ANTIGUA
566,Shimoda,JP,84.11,34.6667,138.95,scattered clouds,Shimoda Tokyu Hotel
572,San Ramon,US,86.65,37.7799,-121.978,clear sky,San Ramon Marriott
578,Hun,LY,83.26,29.1268,15.9477,clear sky,Alrwasi Hotel
586,San Francisco De Coray,HN,89.91,13.6614,-87.5328,overcast clouds,Las Uvas comunid
595,Valentin Gomez Farias,MX,84.99,28.2167,-106.5833,scattered clouds,
597,Kaffrine,SN,80.73,14.1059,-15.5508,moderate rain,Beuleup counda motel
603,Black River,JM,84.58,18.0264,-77.8487,broken clouds,Idlers' Rest Beach Hotel
605,Mount Pleasant,US,87.94,32.7941,-79.8626,few clouds,Best Western Patriots Point
613,Beni Suef,EG,85.17,29.0731,31.0979,clear sky,Jewel Inn Beni Suef
617,Balsas,BR,84.78,-7.5325,-46.0356,scattered clouds,Novo Hotel
628,Vancouver,CA,87.98,49.2497,-123.1193,clear sky,City Centre Motor Hotel
631,Djambala,CG,80.19,-2.5447,14.7533,overcast clouds,Hotel Ravin D'or
632,Juegang,CN,83.91,32.3174,121.1855,broken clouds,Rudong Y Hotel
653,San Jose,US,84.92,37.3394,-121.895,few clouds,The Westin San Jose
654,Marsaxlokk,MT,82.08,35.8419,14.5431,clear sky,Water's Edge
661,Caraballeda,VE,89.67,10.6112,-66.8522,broken clouds,Ole Caribe
665,Pinotepa De Don Luis,MX,82.62,16.4167,-97.9167,broken clouds,
672,Riohacha,CO,86.11,11.5444,-72.9072,few clouds,Hotel Taroa
675,Hirara,JP,84.2,24.8,125.2833,clear sky,Hotel Atoll Emerald Miyakojima
678,Vieques,PR,86.11,18.425,-65.8329,thunderstorm,"The St. Regis Bahia Beach Resort, Puerto Rico"
684,San Cristobal,VE,80.78,7.7669,-72.225,overcast clouds,Pirineos
696,Gaoua,BF,80.8,10.2992,-3.2508,overcast clouds,
697,Sur,OM,86.77,22.5667,59.5289,broken clouds,Sur Plaza Hotel
704,Chenghai,CN,82.31,23.4632,116.768,clear sky,Guangdong Hotel
706,Diamantino,BR,82.54,-14.4086,-56.4461,broken clouds,Hotel Delta
714,Nara,JP,81.97,34.6851,135.8049,broken clouds,Guesthouse Nara Komachi
